Date,Shelfmark(s),Add. Info,Book(s).(chapter),Locus,Place,Institution,DOI,URL,Licence (images)
mid 9th,161(153),,16-22,,Angers,Bibliothèque Municipale,,,
mid 9th,19,,,,Lucca,Biblioteca Capitolare,,,
mid 9th,BSB-Hss Clm 3831,,,,München,Bayerische Staatsbibliothek,,https://opacplus.bsb-muenchen.de/metaopac/search?View=default&db=100&id=BV035569323,
mid 9th,Laud. Misc. 120,,40359,,Oxford,Bodleian Library,,,
mid 9th,Laud. Misc. 135,,41851,,Oxford,Bodleian Library,,,
mid 9th,S.I.16,,42704,,San Lorenzo del Escorial,Real Biblioteca,,,
mid 9th,Basilicanus C 99,,40451,,Città del Vaticano,Archivio di San Pietro,,,
mid 9th,Frg.1 266+267,,1.12-15,,København,Rigsarchivet,,,
mid 9th,Add. 18332,,20.10; 20.20,95-101v,London,British Library,,,
second half 9th,Paris Lat. 2051,Codex Faurensis,,,,,,,
second half 9th,MSXXIX (27),,13-16,,Verona,Biblioteca Capitolare,,,
second half 9th,119,,,,Troyes,Bibliothèque Municipale,,,
second half 9th,134,,,,Berne,Bürgerbibliothek,,,
second half 9th,350,,39813,,Cambrai,Bibliothèque Municipale,,,
second half 9th,155,DESTROYED IN 1944,40512,,Chartres,Bibliothèque Municipale,,,
second half 9th,Thott 49 fol.,,40512,,København,Det kongelige Bibliothek,,,
second half 9th,Voss.lat.fol.6,,,,Leiden,Bibliotheek der Rijksuniversiteit,,,
second half 9th,BSB-Hss Clm 6259,,15-22,,München,Bayerische Staatsbibliothek,,http://bildsuche.digitale-sammlungen.de/index.html?c=viewer&lv=1&bandnummer=bsb00054489&pimage=00001&suchbegriff=&l=en,CC BY-NC
second half 9th,lat. 2053,,40390,,Paris,Bibliothèque Nationale,,,
second half 9th,Cod.Guelf.7 Weiss.,,41578,,Wolfenbüttel,Herzog-August-Bibliothek,,,NO IMAGES
second half 9th,Lat. th. c. 10,,9.16-18,98r-98v,Oxford,Bodleian Library,,,
second half 9th,Inc. 701,,22.8,front fly-leaf,Trier,Stadtbibliothek-Stadtarchiv,,,
second half 9th,Cod. Guelf. 16 Weiss. (Heinemann 4100),,1-4.26,,Wolfenbüttel,Herzog-August-Bibliothek,,http://diglib.hab.de/?db=mss&list=ms&id=16-weiss,CC BY-SA
second half 9th,199,,,pp. 367-370,Sankt Gallen,Stiftsbibliothek,,,
875-899,94,,40482,,Bourges,Bibliothèque Municipale,,,
875-899,lat. 2051,,,,Paris,Bibliothèque Nationale,,,
9th,MS 606,,40178,,Lyon,Bibliothèque Municipale,N/A,http://florus.bm-lyon.fr/visualisation.php?cote=MS0606&vue=1,
9th,BSB-Hss Clm 6267,,41639,,München,Bayerische Staatsbibliothek,urn:nbn:de:bvb:12-bsb00039815-6,http://daten.digitale-sammlungen.de/~db/0003/bsb00039815/images/index.html?id=00039815&fip=ewqqrseayaxdsydxdsydeayaxdsydxsxdsydxdsydfsdr&no=&seite=4,
9th,G.III.3,,,,Brescia,Biblioteca Civica Queriniana,,,
9th,Fondo S. Millán de la Cogolla 29,,,,Madrid,Academia de la Historia,,,
9th,255,,12-13; 15-18,,Montpellier,Faculté de médecine,,,
9th,lat. 12215,,16-22,,Paris,Bibliothèque Nationale,,,
9th,"Ms.lat.2°_ 381, 10",,2.16-18,2r-2v,Berlin,Staatsbibliothek,,,
9th,Aug.fr.99,,7.3-5; 7.11-13; 11.22-23; 11.27-29,,Karlsruhe,Badische Landesbibliothek,,,
9th,Clm 14324,,7.23,,München,Bayerische Staatsbibliothek,,,
9th,Clm 14614,,20.6,64v-67,München,Bayerische Staatsbibliothek,,,
876-925,Vat.lat.426,Codex Vaticanus,40451,5r-162v,Città del Vaticano,Biblioteca Apostolica Vaticana,81880,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81880,
9th-10th,16,,40421,,Autun,Bibliothèque Municipale,,,
9th-10th,lat. 6601,,,69-70,Paris,Bibliothèque Nationale,,,
first half 10th,9 (159; SG 528),,,,Ghent,Bibliothèque Universitaire,,,
first half 10th,lat. 11638,,,,Paris,Bibliothèque Nationale,,,
first half 10th,LXXI (52),,,,Vercelli,Archivio Capitolare,,,
first half 10th,337,,22.8,83-96,Orléans,Bibliothèque Municipale,,,
10th,Paris Sainte-Geneviève 216,Codex Siluanectensis,,,,,,,
10th,BSB-Hss Clm 13024,,,,München,Bayerische Staatsbibliothek,urn:nbn:de:bvb:12-bsb00039813-5,http://daten.digitale-sammlungen.de/bsb00039813/image_1,
10th,Cod. Sang. 144,Excerpta ,,,Sankt Gallen,Stiftsbibliothek,10.5076/e-codices-csg-0144,http://www.e-codices.unifr.ch/en/list/one/csg/0144,CC-BY-NC
10th,Paris lat. 11638,Codex Germanense,,,,,,,
10th,144,,,,Einsiedeln,Stiftsbibliothek,,,
10th,146,,,,Einsiedeln,Stiftsbibliothek,,,
10th,San Marco 618,,,,Firenze,Biblioteca Medicea Laurenziana,,,
10th,216,,,,Paris,Bibliothèque Sainte-Geneviève,,,
10th,lat. 7400B,,,1,Paris,Bibliothèque Nationale,,,
10th,296,,22.8,40v,Reims,Bibliothèque Municipale,,,
11th,Paris lat. 11639,Codex Germanense,40451,,,,,,
11th,Paris Sorbonne 28,Codex Geruasianus,,,,,,,
1076-1125,Vat.lat.425,,43404,1r-321r,Città del Vaticano,Biblioteca Apostolica Vaticana,81881,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81881,
11th-12th,Avranches 89,Codex Michaelinus,,,,,,,
1150-1300,Mss/9557,De civitate Dei,,,Madrid,Biblioteca Nacional de España,bdh0000007627,http://bdh.bne.es/bnesearch/detalle/bdh0000007627,CC-BY NC?
1st half 12th,SDL-Hss XV Fragm. 11,XV Fragm. 11,,,Dillingen ,Studienbibliothek,urn:nbn:de:bvb:12-bsb00005826-3,http://daten.digitale-sammlungen.de/~db/0000/bsb00005826/images/index.html?seite=00001&l=en,
